,name,company,year,Price,fuel_type,Mileage
0,Maruti Suzuki Alto 800 Vxi,Maruti,2018.0,398132.7098765432,Petrol,22000.0
1,Hyundai Grand i10 Magna 1.2 Kappa VTVT,Hyundai,2014.0,325000.0,Petrol,28000.0
2,Ford EcoSport Titanium 1.5L TDCi,Ford,2014.0,575000.0,Diesel,36000.0
3,Ford EcoSport Titanium 1.5L TDCi,Ford,2015.0,398132.7098765432,Diesel,59000.0
4,Mahindra Scorpio SLE BS IV,Mahindra,2015.0,320000.0,Diesel,48660.0
5,Audi A8,Audi,2017.0,1000000.0,Petrol,4000.0
6,Audi Q7,Audi,2014.0,500000.0,Diesel,16934.0
7,Maruti Suzuki Alto 800,Maruti,2014.0,160000.0,Petrol,35550.0
8,Mahindra Scorpio S10,Mahindra,2016.0,310000.0,Diesel,39522.0
9,Maruti Suzuki Alto 800 Vxi,Maruti,2015.0,75000.0,Petrol,39000.0
10,Maruti Suzuki Alto 800 Lx,Maruti,2017.0,190000.0,Petrol,72000.0
11,Maruti Suzuki Vitara Brezza ZDi,Maruti,2016.0,290000.0,Diesel,15975.0
12,Maruti Suzuki Alto LX,Maruti,2008.0,95000.0,Petrol,70000.0
13,Toyota Innova 2.0 G 8 STR BS IV,Toyota,2012.0,650000.0,Diesel,82000.0
14,Skoda Yeti Ambition 2.0 TDI CR 4x2,Skoda,2012.0,448000.0,Diesel,68000.0
15,Maruti Suzuki Baleno Delta 1.2,Maruti,2017.0,549000.0,Diesel,32000.0
16,Honda City 1.5 S MT,Honda,2011.0,280000.0,Petrol,33000.0
17,Maruti Suzuki Dzire,Maruti,2013.0,349999.0,Diesel,46000.0
18,Honda Amaze 1.5 SX i DTEC,Honda,2015.0,345000.0,Diesel,36000.0
19,Mahindra Scorpio S10,Mahindra,2015.0,395000.0,Diesel,35000.0
20,Maruti Suzuki Swift VXi 1.2 ABS BS IV,Maruti,2017.0,220000.0,Petrol,30874.0
21,Honda City ZX CVT,Honda,2017.0,170000.0,Diesel,15000.0
22,Maruti Suzuki Wagon R LX BS IV,Maruti,2013.0,85000.0,Petrol,29685.0
23,Mahindra Scorpio SLE BS IV,Mahindra,2012.0,570000.0,Diesel,19000.0
24,Volkswagen Polo Highline Exquisite P,Volkswagen,2014.0,315000.0,Petrol,60000.0
25,Chevrolet Spark LS 1.0,Chevrolet,2010.0,110000.0,Petrol,41000.0
26,Volkswagen Vento Highline Plus 1.5 Diesel AT,Volkswagen,2019.0,1200000.0,Diesel,3600.0
27,Hyundai i20 Magna,Hyundai,2009.0,195000.0,Petrol,32000.0
28,Toyota Corolla Altis Diesel D4DG,Toyota,2010.0,351000.0,Diesel,38000.0
29,Hyundai Verna Transform SX VTVT,Hyundai,2008.0,160000.0,Petrol,45000.0
30,Toyota Corolla Altis Petrol Ltd,Toyota,2009.0,240000.0,Petrol,35000.0
31,Honda City 1.5 EXi New,Honda,2005.0,90000.0,Petrol,50000.0
32,Skoda Fabia 1.2L Diesel Elegance,Skoda,2011.0,155000.0,Diesel,45863.0
33,BMW 3 Series 320i,BMW,2011.0,600000.0,Petrol,60500.0
34,Maruti Suzuki A Star Lxi,Maruti,2011.0,189500.0,Petrol,12500.0
35,Toyota Etios GD,Toyota,2013.0,350000.0,Diesel,60000.0
36,Ford Figo Diesel EXI Option,Ford,2012.0,210000.0,Diesel,35000.0
37,Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2014.0,390000.0,Petrol,35000.0
38,Chevrolet Beat LT Diesel,Chevrolet,2012.0,135000.0,Diesel,45000.0
39,BMW 7 Series 740Li Sedan,BMW,2009.0,1600000.0,Petrol,35000.0
40,Mahindra XUV500 W8 AWD 2013,Mahindra,2013.0,701000.0,Diesel,38000.0
41,Hyundai i10 Magna 1.2,Hyundai,2014.0,265000.0,Petrol,18000.0
42,Hyundai Verna Fluidic New,Hyundai,2015.0,525000.0,Diesel,35000.0
43,Maruti Suzuki Ertiga ZXI Plus,Maruti,2016.0,635000.0,Petrol,29000.0
44,Ford EcoSport Titanium 1.5L TDCi,Ford,2014.0,550000.0,Diesel,44000.0
45,Maruti Suzuki Ertiga Vxi,Maruti,2016.0,575000.0,Petrol,29000.0
46,Maruti Suzuki Ertiga VDi,Maruti,2013.0,485000.0,Diesel,42000.0
47,Maruti Suzuki Alto LXi BS III,Maruti,2012.0,155000.0,Petrol,14000.0
48,Hyundai Grand i10 Asta 1.1 CRDi,Hyundai,2014.0,345000.0,Diesel,49000.0
49,Honda Amaze 1.2 S i VTEC,Honda,2014.0,325000.0,Petrol,42000.0
50,Maruti Suzuki Dzire VDI,Maruti,2015.0,450000.0,Diesel,104000.0
51,Toyota Etios Liva G,Toyota,2014.0,270000.0,Petrol,55000.0
52,Hyundai i20 Sportz 1.4 CRDI,Hyundai,2011.0,350000.0,Diesel,33333.0
53,Chevrolet Spark,Chevrolet,2012.0,158400.0,Petrol,33600.0
54,Maruti Suzuki Alto K10 VXi AMT,Maruti,2017.0,350000.0,Petrol,5600.0
55,Nissan Micra XV,Nissan,2011.0,179000.0,Petrol,41000.0
56,Maruti Suzuki Swift,Maruti,2007.0,125000.0,Petrol,70000.0
57,Maruti Suzuki Alto 800,Maruti,2018.0,200000.0,Petrol,7500.0
58,Honda Amaze 1.5 S i DTEC,Honda,2013.0,299000.0,Diesel,45000.0
59,Maruti Suzuki Alto 800 Vxi,Maruti,2015.0,220000.0,Petrol,38000.0
60,Chevrolet Beat,Chevrolet,2015.0,150000.0,Petrol,30000.0
61,Toyota Corolla,Toyota,2009.0,275000.0,,26000.0
62,Honda City 1.5 V MT,Honda,2010.0,285000.0,Petrol,35000.0
63,Ford EcoSport Trend 1.5L TDCi,Ford,2016.0,830000.0,Diesel,24330.0
64,Hyundai i20 Asta 1.2,Hyundai,2009.0,210000.0,Petrol,65480.0
65,Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2013.0,340000.0,Petrol,41000.0
66,Tata Indica V2 eLS,Tata,2006.0,90000.0,Petrol,20000.0
67,Maruti Suzuki Alto 800 Lxi,Maruti,2018.0,398132.7098765432,Petrol,28028.0
68,Hindustan Motors Ambassador,Hindustan,2002.5,70000.0,Diesel,109500.0
69,Toyota Corolla Altis 1.8 GL,Toyota,2010.0,289999.0,Petrol,70000.0
70,Toyota Corolla Altis 1.8 J,Toyota,2012.0,349999.0,Petrol,59000.0
71,Toyota Innova 2.5 GX BS IV 7 STR,Toyota,2012.0,849999.0,Diesel,99000.0
72,Volkswagen Jetta Highline TDI AT,Volkswagen,2014.0,749999.0,Diesel,46000.0
73,Volkswagen Polo Comfortline 1.2L P,Volkswagen,2015.0,399999.0,Petrol,2800.0
74,Volkswagen Polo,Volkswagen,2014.0,274999.0,Petrol,32000.0
75,Mahindra Scorpio,Mahindra,2015.0,984999.0,Diesel,22000.0
76,Nissan Sunny,Nissan,2012.0,224999.0,Petrol,45000.0
77,Hyundai Elite i20,Hyundai,2018.0,599999.0,Petrol,21000.0
78,Renault Kwid,Renault,2016.0,244999.0,Petrol,11000.0
79,Renault Duster,Renault,2013.0,399999.0,Diesel,41000.0
80,Renault Duster,Renault,2014.0,474999.0,Diesel,50000.0
81,Mahindra Scorpio VLX Airbag,Mahindra,2011.0,499999.0,Diesel,66000.0
82,Maruti Suzuki Alto 800 Lxi,Maruti,2018.0,310000.0,Petrol,3000.0
83,Chevrolet Spark LT 1.0,Chevrolet,2010.0,85000.0,Petrol,45000.0
84,Datsun Redi GO T O,Datsun,2016.0,245000.0,Petrol,7000.0
85,Maruti Suzuki Swift RS VDI,Maruti,2010.0,189500.0,Diesel,38500.0
86,Fiat Punto Emotion 1.2,Fiat,2012.0,169500.0,Diesel,37200.0
87,Maruti Suzuki Swift RS VDI,Maruti,2010.0,159500.0,Diesel,43200.0
88,Toyota Etios GD,Toyota,2013.0,275000.0,Petrol,24800.0
89,Hyundai i20 Sportz 1.4 CRDI,Hyundai,2014.0,370000.0,Diesel,60000.0
90,Hyundai i10 Sportz 1.2,Hyundai,2010.0,168000.0,Petrol,45872.0
91,Chevrolet Beat LT Opt Diesel,Chevrolet,2011.0,150000.0,Diesel,40000.0
92,Chevrolet Beat LS Diesel,Chevrolet,2011.0,145000.0,Diesel,45000.0
93,Chevrolet Beat LT Diesel,Chevrolet,2012.0,98500.0,Diesel,38000.0
94,Tata Indigo CS,Tata,2011.0,85000.0,Diesel,11400.0
95,Toyota Corolla Altis 1.8 J,Toyota,2015.0,575000.0,Petrol,42000.0
96,Honda City 1.5 V MT,Honda,2014.0,549000.0,Petrol,39000.0
97,Maruti Suzuki Swift VDi,Maruti,2011.0,209000.0,Diesel,47000.0
98,Hyundai Eon Era Plus,Hyundai,2013.0,185000.0,Petrol,27000.0
99,Mahindra XUV500,Mahindra,2014.0,699999.0,Diesel,52000.0
100,Ford Fiesta,Ford,2011.0,274999.0,Diesel,55000.0
101,Honda City,Honda,2015.0,599999.0,Diesel,30000.0
102,Maruti Suzuki Wagon R,Maruti,2012.0,199999.0,Petrol,44000.0
103,Honda City,Honda,2014.0,544999.0,Diesel,45000.0
104,Hyundai i20,Hyundai,2009.0,199000.0,Petrol,31000.0
105,Hyundai Santro Xing XS,Hyundai,2005.0,49000.0,Petrol,7500.0
106,Maruti Suzuki Ciaz VXi Plus,Maruti,2016.0,700000.0,Petrol,3350.0
107,Maruti Suzuki Zen VX,Maruti,2002.5,55000.0,Petrol,60000.0
108,Hyundai Creta 1.6 SX Plus Petrol,Hyundai,2017.0,895000.0,Petrol,32000.0
109,Mahindra Scorpio SLX,Mahindra,2007.0,355000.0,Diesel,75000.0
110,Mahindra Scorpio SLE BS IV,Mahindra,2012.0,565000.0,Diesel,62000.0
111,Toyota Innova 2.5 G BS III 8 STR,Toyota,2006.0,365000.0,Diesel,73000.0
112,Maruti Suzuki Alto K10 VXi AMT,Maruti,2011.0,145000.0,Petrol,41000.0
113,Maruti Suzuki Wagon R LXI BS IV,Maruti,2011.0,210000.0,Petrol,35000.0
114,Tata Nano Cx BSIV,Tata,2013.0,40000.0,Petrol,2200.0
115,Maruti Suzuki Alto Std BS IV,Maruti,2013.0,125000.0,Petrol,39000.0
116,Maruti Suzuki Wagon R LXi BS III,Maruti,2009.0,135000.0,Petrol,45000.0
117,Maruti Suzuki Swift VXI BSIII,Maruti,2006.0,135000.0,Petrol,45000.0
118,Tata Sumo Victa EX 10 by 7 Str BSIII,Tata,2012.0,285000.0,Diesel,65000.0
119,Maruti Suzuki Wagon R LXi BS III,Maruti,2010.0,145000.0,Petrol,54870.0
120,Maruti Suzuki Alto LXi BS III,Maruti,2010.0,135000.0,Petrol,34580.0
121,Volkswagen Passat Diesel Comfortline AT,Volkswagen,2009.0,450000.0,Diesel,97000.0
122,Honda City ZX VTEC,Honda,2008.0,110000.0,Petrol,45000.0
123,Maruti Suzuki Wagon R LX BS III,Maruti,2006.0,80000.0,Petrol,71200.0
124,Honda City VX O MT Diesel,Honda,2016.0,519000.0,Diesel,52000.0
125,Mahindra Thar CRDe 4x4 AC,Mahindra,2016.0,730000.0,Diesel,29000.0
126,Mercedes Benz GLA Class 200 CDI Sport,Mercedes,2015.0,2000000.0,Diesel,20000.0
127,Land Rover Freelander 2 SE,Land,2015.0,2100000.0,Diesel,30000.0
128,Renault Kwid RXT,Renault,2017.0,340000.0,Petrol,5000.0
129,Tata Aria Pleasure 4X2,Tata,2014.0,390000.0,Diesel,35000.0
130,Mercedes Benz B Class B180 Sports,Mercedes,2014.0,1400000.0,Petrol,31000.0
131,Datsun GO T O,Datsun,2016.0,245000.0,Petrol,7000.0
132,Tata Indigo eCS LX TDI BS III,Tata,2016.0,320000.0,Diesel,109500.0
133,Honda Jazz VX MT,Honda,2016.0,450000.0,Petrol,41000.0
134,Honda Amaze 1.2 S i VTEC,Honda,2014.0,311000.0,Petrol,33000.0
135,Honda City,Honda,2012.0,399999.0,Petrol,45000.0
136,Honda City,Honda,2015.0,599999.0,Diesel,39000.0
137,Hyundai i20 Active 1.4L SX O,Hyundai,2015.0,535000.0,Diesel,37000.0
138,Maruti Suzuki Ciaz ZXI Plus,Maruti,2017.0,699000.0,Petrol,14000.0
139,Hyundai Eon Sportz,Hyundai,2012.0,178000.0,Petrol,30000.0
140,Tata Sumo Gold Select Variant,Tata,2013.0,300000.0,Diesel,50000.0
141,Maruti Suzuki Wagon R 1.0,Maruti,2003.0,90000.0,Petrol,45000.0
142,Maruti Suzuki Esteem VXi BS III,Maruti,2006.0,95000.0,Petrol,45000.0
143,Maruti Suzuki Eeco 5 STR WITH AC HTR,Maruti,2015.0,255000.0,Petrol,9300.0
144,Chevrolet Enjoy 1.4 LS 8 STR,Chevrolet,2013.0,245000.0,Diesel,55000.0
145,Maruti Suzuki Wagon R 1.0 VXi,Maruti,2015.0,289999.0,Petrol,22000.0
146,Nissan Terrano XL D Plus,Nissan,2015.0,499999.0,Diesel,60000.0
147,Renault Duster 85 PS RxE Diesel,Renault,2014.0,489999.0,Diesel,59000.0
148,Renault Duster 85 PS RxL Diesel,Renault,2015.0,549999.0,Diesel,19000.0
149,Maruti Suzuki Dzire ZXI,Maruti,2013.0,380000.0,Petrol,30000.0
150,Renault Kwid RXT Opt,Renault,2018.0,325000.0,Petrol,15000.0
151,Maruti Suzuki Maruti 800 Std,Maruti,2003.0,57000.0,Petrol,56758.0
152,Renault Kwid 1.0 RXT AMT,Renault,2018.0,349999.0,Petrol,10000.0
153,Renault Scala RxL Diesel,Renault,2014.0,349999.0,Diesel,49000.0
154,Hyundai Grand i10 Asta 1.2 Kappa VTVT O,Hyundai,2014.0,410000.0,Petrol,41000.0
155,Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2011.0,225000.0,Petrol,45000.0
156,Chevrolet Beat LS Petrol,Chevrolet,2010.0,120000.0,Petrol,43000.0
157,Hyundai Santro Xing XO eRLX Euro III,Hyundai,2002.5,59000.0,Petrol,56450.0
158,Chevrolet Beat LS Petrol,Chevrolet,2010.0,80000.0,Petrol,56000.0
159,Chevrolet Beat LS Petrol,Chevrolet,2015.0,220000.0,Petrol,32700.0
160,Ford EcoSport Titanium 1.5L TDCi,Ford,2016.0,599000.0,Diesel,30000.0
161,Hyundai Accent GLX,Hyundai,2006.0,80000.0,Petrol,56000.0
162,Maruti Suzuki Swift LDi,Maruti,2010.0,398132.7098765432,Diesel,52000.0
163,Mahindra TUV300 T4 Plus,Mahindra,2016.0,675000.0,Diesel,9000.0
164,Tata Indica V2 Xeta e GLE,Tata,2008.0,150000.0,Petrol,11000.0
165,Tata Indigo CS LS DiCOR,Tata,2009.0,72500.0,Diesel,46000.0
166,Maruti Suzuki Swift VXi 1.2 ABS BS IV,Maruti,2019.0,610000.0,Petrol,73.0
167,Mahindra Scorpio VLX Special Edition BS III,Mahindra,2004.0,230000.0,Diesel,109500.0
168,Tata Indica eV2 LS,Tata,2017.0,398132.7098765432,Diesel,84000.0
169,Honda Accord,Honda,2009.0,175000.0,Petrol,58559.0
170,Ford EcoSport Titanium 1.5 TDCi,Ford,2014.0,520000.0,Diesel,57000.0
171,Maruti Suzuki Ertiga,Maruti,2015.0,524999.0,Diesel,50000.0
172,Honda Amaze,Honda,2014.0,299999.0,Petrol,37000.0
173,Maruti Suzuki Dzire,Maruti,2012.0,299999.0,Petrol,40000.0
174,Honda City,Honda,2011.0,284999.0,Petrol,55000.0
175,Mahindra Scorpio 2.6 CRDe,Mahindra,2007.0,220000.0,Diesel,109500.0
176,Maruti Suzuki Dzire,Maruti,2014.0,424999.0,Diesel,55000.0
177,Honda City,Honda,2015.0,644999.0,Petrol,39000.0
178,Honda Mobilio,Honda,2014.0,399999.0,Petrol,44000.0
179,Toyota Corolla Altis,Toyota,2009.0,199999.0,Petrol,65000.0
180,Honda City,Honda,2014.0,584999.0,Petrol,39000.0
181,Skoda Laura,Skoda,2012.0,349999.0,Diesel,44000.0
182,Renault Duster,Renault,2015.0,449999.0,Diesel,49000.0
183,Maruti Suzuki Ertiga,Maruti,2018.0,799999.0,Diesel,9000.0
184,Maruti Suzuki Dzire,Maruti,2015.0,444999.0,Diesel,45000.0
185,Mahindra XUV500,Mahindra,2014.0,649999.0,Diesel,47000.0
186,Hyundai Verna Fluidic,Hyundai,2012.0,444999.0,Diesel,40000.0
187,Maruti Suzuki Vitara Brezza,Maruti,2016.0,689999.0,Diesel,29000.0
188,Maruti Suzuki Wagon R,Maruti,2016.0,344999.0,Petrol,15000.0
189,Mahindra Scorpio,Mahindra,2015.0,944999.0,Diesel,45000.0
190,Honda Amaze,Honda,2014.0,274999.0,Petrol,35000.0
191,Mahindra XUV500,Mahindra,2013.0,689999.0,Diesel,80000.0
192,Mahindra Scorpio,Mahindra,2013.0,574999.0,Diesel,68000.0
193,Skoda Laura,Skoda,2013.0,374999.0,Diesel,50000.0
194,Volkswagen Polo,Volkswagen,2010.0,199999.0,Diesel,60000.0
195,Hyundai Elite i20,Hyundai,2016.0,549999.0,Petrol,9000.0
196,Tata Manza Aura Quadrajet,Tata,2012.0,130000.0,Diesel,72000.0
197,Chevrolet Sail UVA Petrol LT ABS,Chevrolet,2013.0,210000.0,Petrol,60000.0
198,Hyundai Verna Fluidic 1.6 VTVT SX,Hyundai,2013.0,401000.0,Diesel,45000.0
199,Audi A4 2.0 TDI 177bhp Premium,Audi,2012.0,1350000.0,Diesel,40000.0
200,Hyundai Elantra SX,Hyundai,2013.0,600000.0,Petrol,20000.0
201,Mahindra Scorpio VLX 4WD Airbag,Mahindra,2013.0,610000.0,Diesel,35000.0
202,Mahindra KUV100 K8 D 6 STR,Mahindra,2016.0,400000.0,Diesel,20000.0
203,Hyundai Grand i10,Hyundai,2017.0,524999.0,Petrol,6821.0
204,Hyundai i20,Hyundai,2014.0,449999.0,Petrol,23000.0
205,Hyundai Eon,Hyundai,2014.0,174999.0,Petrol,14000.0
206,Hyundai i10,Hyundai,2012.0,244999.0,Petrol,38000.0
207,Hyundai i20 Active,Hyundai,2015.0,574999.0,Diesel,35000.0
208,Datsun Redi GO,Datsun,2017.0,244999.0,Petrol,22000.0
209,Toyota Etios Liva,Toyota,2011.0,239999.0,Petrol,41000.0
210,Hyundai Accent,Hyundai,2010.0,99999.0,Petrol,45000.0
211,Hyundai Verna,Hyundai,2014.0,489999.0,Diesel,44000.0
212,Maruti Suzuki Swift,Maruti,2013.0,324999.0,Diesel,45000.0
213,Toyota Fortuner,Toyota,2011.0,1074999.0,Diesel,52000.0
214,Hyundai i10 Sportz,Hyundai,2012.0,230000.0,Petrol,34000.0
215,Mahindra Bolero Power Plus SLE,Mahindra,2018.0,699000.0,Diesel,1800.0
216,Mahindra XUV500,Mahindra,2015.0,1000000.0,Diesel,15000.0
217,Honda City 1.5 V MT Exclusive,Honda,2010.0,240000.0,Petrol,109500.0
218,Chevrolet Spark LT 1.0 Airbag,Chevrolet,2009.0,110000.0,Petrol,44000.0
219,Mahindra XUV500,Mahindra,2016.0,1130000.0,Diesel,72000.0
220,Tata Indigo eCS VX CR4 BS IV,Tata,2014.0,250000.0,Diesel,40000.0
221,Skoda Rapid Elegance 1.6 TDI CR MT,Skoda,2013.0,340000.0,Diesel,48000.0
222,Tata Vista Quadrajet VX,Tata,2011.0,120000.0,Diesel,90000.0
223,Maruti Suzuki Alto K10 VXi AT,Maruti,2015.0,265000.0,Petrol,12000.0
224,Maruti Suzuki Zen LXi BS III,Maruti,2003.0,85000.0,Petrol,69900.0
225,Hyundai i10 Magna 1.2,Hyundai,2011.0,175000.0,Petrol,45000.0
226,Maruti Suzuki Swift Dzire Tour LDi,Maruti,2016.0,350000.0,Diesel,109500.0
